Row Number	State	DPD	Count
133	BIHAR	11	1
134	BIHAR	12	1
135	BIHAR	14	2
136	BIHAR	15	2
137	BIHAR	16	1
138	BIHAR	18	1
139	BIHAR	19	3
140	BIHAR	20	1
141	BIHAR	24	1
142	BIHAR	25	1
143	BIHAR	27	1
144	BIHAR	28	3
145	BIHAR	30	5
146	BIHAR	33	1
147	BIHAR	34	1
148	BIHAR	35	1
149	BIHAR	36	1
150	BIHAR	37	1
151	BIHAR	38	1
152	BIHAR	42	1
153	BIHAR	43	1
154	BIHAR	44	2
155	BIHAR	45	1
156	BIHAR	47	1
157	BIHAR	48	3
158	BIHAR	49	1
159	BIHAR	50	1
160	BIHAR	52	1
161	BIHAR	53	1
162	BIHAR	55	1
163	BIHAR	57	1
164	BIHAR	58	1
165	BIHAR	60	1
166	BIHAR	63	1
167	BIHAR	65	2
168	BIHAR	69	1
169	BIHAR	70	2
170	BIHAR	71	2
171	BIHAR	72	2
172	BIHAR	73	1
173	BIHAR	75	1
174	BIHAR	76	1
175	BIHAR	77	2
176	BIHAR	79	1
177	BIHAR	80	1
178	BIHAR	85	2
179	BIHAR	87	1
180	BIHAR	89	1
181	CHANDIGARH	19	1
182	CHANDIGARH	21	1
183	CHANDIGARH	22	1
184	CHANDIGARH	45	1
185	CHANDIGARH	70	1
186	CHANDIGARH	84	1
187	CHHATTISGARH	2	1
188	CHHATTISGARH	4	1
189	CHHATTISGARH	5	2
190	CHHATTISGARH	7	2
191	CHHATTISGARH	10	1
192	CHHATTISGARH	12	2
193	CHHATTISGARH	14	1
194	CHHATTISGARH	15	1
195	CHHATTISGARH	16	2
196	CHHATTISGARH	17	1
197	CHHATTISGARH	19	2
198	CHHATTISGARH	22	1
199	CHHATTISGARH	24	3
200	CHHATTISGARH	26	1
201	CHHATTISGARH	28	2
202	CHHATTISGARH	29	1
203	CHHATTISGARH	32	2
204	CHHATTISGARH	35	1
205	CHHATTISGARH	42	1
206	CHHATTISGARH	43	1
207	CHHATTISGARH	50	1
208	CHHATTISGARH	53	1
209	CHHATTISGARH	54	1
210	CHHATTISGARH	57	1
211	CHHATTISGARH	58	1
212	CHHATTISGARH	60	1
213	CHHATTISGARH	65	1
214	CHHATTISGARH	70	1
215	CHHATTISGARH	71	2
216	CHHATTISGARH	72	1
217	CHHATTISGARH	75	4
218	CHHATTISGARH	76	2
219	CHHATTISGARH	78	2
220	CHHATTISGARH	79	1
221	CHHATTISGARH	80	1
222	CHHATTISGARH	86	1
223	CHHATTISGARH	87	1
224	CHHATTISGARH	89	2
225	CHHATTISGARH	33	1
226	DAMAN AND DIU	35	1
227	DELHI	1	1
228	DELHI	3	2
229	DELHI	8	1
230	DELHI	9	2
231	DELHI	11	1
232	DELHI	16	1
233	DELHI	18	2
234	DELHI	19	1
235	DELHI	21	1
236	DELHI	22	1
237	DELHI	24	1
238	DELHI	25	1
239	DELHI	27	1
240	DELHI	28	1
241	DELHI	30	1
242	DELHI	33	1
243	DELHI	35	1
244	DELHI	38	2
245	DELHI	42	2
246	DELHI	43	2
247	DELHI	44	1
248	DELHI	45	1
249	DELHI	47	1
250	DELHI	50	2
251	DELHI	52	1
252	DELHI	55	1
253	DELHI	56	1
254	DELHI	59	1
255	DELHI	62	1
256	DELHI	63	1
257	DELHI	65	1
258	DELHI	66	1
259	DELHI	67	1
260	DELHI	68	3
261	DELHI	70	1
262	DELHI	71	1
263	DELHI	74	3
264	DELHI	80	1
265	DELHI	85	1
266	DELHI	87	2
267	DELHI	88	1
268	DELHI	90	1
269	GOA	2	1
270	GOA	65	1
271	GOA	70	1
272	GUJARAT	5	2
273	GUJARAT	7	1
274	GUJARAT	9	1
275	GUJARAT	14	1
276	GUJARAT	15	1
277	GUJARAT	16	1
278	GUJARAT	17	1
279	GUJARAT	18	2
280	GUJARAT	19	1
281	GUJARAT	21	1
282	GUJARAT	22	1
283	GUJARAT	27	1
284	GUJARAT	28	1
285	GUJARAT	29	1
286	GUJARAT	33	1
287	GUJARAT	34	1
288	GUJARAT	35	1
289	GUJARAT	36	1
290	GUJARAT	38	1
291	GUJARAT	41	1
292	GUJARAT	48	1
293	GUJARAT	50	1
294	GUJARAT	54	1
295	GUJARAT	55	1
296	GUJARAT	57	2
297	GUJARAT	60	1
298	GUJARAT	63	1
299	GUJARAT	64	1
300	GUJARAT	66	1
301	GUJARAT	67	1
302	GUJARAT	68	1
303	GUJARAT	70	1
304	GUJARAT	76	1
305	GUJARAT	78	1
306	GUJARAT	83	1
307	GUJARAT	85	1
308	GUJARAT	86	1
309	GUJARAT	88	1
310	GUJARAT	90	1
311	HARYANA	2	1
312	HARYANA	4	1
313	HARYANA	5	3
314	HARYANA	6	1
315	HARYANA	7	3
316	HARYANA	8	1
317	HARYANA	9	2
318	HARYANA	10	1
319	HARYANA	11	1
320	HARYANA	14	1
321	HARYANA	15	2
322	HARYANA	19	1
323	HARYANA	22	1
324	HARYANA	23	3
325	HARYANA	24	1
326	HARYANA	25	2
327	HARYANA	26	1
328	HARYANA	29	1
329	HARYANA	30	1
330	HARYANA	33	1
331	HARYANA	34	1
332	HARYANA	36	2
333	HARYANA	39	1
334	HARYANA	48	1
335	HARYANA	51	1
336	HARYANA	53	1
337	HARYANA	54	1
338	HARYANA	57	1
339	HARYANA	59	1
340	HARYANA	61	2
341	HARYANA	64	1
342	HARYANA	65	1
343	HARYANA	67	2
344	HARYANA	68	1
345	HARYANA	70	1
346	HARYANA	72	1
347	HARYANA	73	1
348	HARYANA	74	4
349	HARYANA	75	1
350	HARYANA	77	2
351	HARYANA	78	1
352	HARYANA	79	2
353	HARYANA	80	1
354	HARYANA	81	1
355	HARYANA	82	1
356	HARYANA	84	2
357	HARYANA	85	1
358	HARYANA	86	3
359	HARYANA	87	1
360	HARYANA	88	1
361	HIMACHAL PRADESH	8	1
362	HIMACHAL PRADESH	11	1
363	HIMACHAL PRADESH	18	1
364	HIMACHAL PRADESH	27	1
365	HIMACHAL PRADESH	29	1
366	HIMACHAL PRADESH	36	1
367	HIMACHAL PRADESH	39	1
368	HIMACHAL PRADESH	45	1
369	HIMACHAL PRADESH	46	1
370	HIMACHAL PRADESH	63	1
371	HIMACHAL PRADESH	73	1
372	HIMACHAL PRADESH	82	1
373	JAMMU & KASHMIR	5	1
374	JAMMU & KASHMIR	11	1
375	JAMMU & KASHMIR	17	1
376	JAMMU & KASHMIR	21	1
377	JAMMU & KASHMIR	30	1
378	JAMMU & KASHMIR	31	2
379	JAMMU & KASHMIR	32	1
380	JAMMU & KASHMIR	56	2
381	JAMMU & KASHMIR	62	1
382	JAMMU & KASHMIR	75	1
383	JHARKHAND	9	1
384	JHARKHAND	10	2
385	JHARKHAND	11	2
386	JHARKHAND	13	1
387	JHARKHAND	15	1
388	JHARKHAND	16	2
389	JHARKHAND	19	1
390	JHARKHAND	24	1
391	JHARKHAND	26	1
392	JHARKHAND	27	1
393	JHARKHAND	35	1
394	JHARKHAND	37	1
395	JHARKHAND	38	1
396	JHARKHAND	43	1
397	JHARKHAND	46	1
398	JHARKHAND	50	1
399	JHARKHAND	52	1
400	JHARKHAND	53	1
401	JHARKHAND	54	1
402	JHARKHAND	57	1
403	JHARKHAND	58	2
404	JHARKHAND	60	3
405	JHARKHAND	66	1
406	JHARKHAND	67	1
407	JHARKHAND	68	1
408	JHARKHAND	69	1
409	JHARKHAND	72	1
410	JHARKHAND	74	1
411	JHARKHAND	78	1
412	JHARKHAND	80	1
413	JHARKHAND	83	2
414	JHARKHAND	86	1
415	KARNATAKA	4	1
416	KARNATAKA	5	2
417	KARNATAKA	10	2
418	KARNATAKA	11	2
419	KARNATAKA	18	1
420	KARNATAKA	19	2
421	KARNATAKA	20	1
422	KARNATAKA	21	1
423	KARNATAKA	22	2
424	KARNATAKA	28	1
425	KARNATAKA	29	2
426	KARNATAKA	30	1
427	KARNATAKA	31	2
428	KARNATAKA	34	2
429	KARNATAKA	35	1
430	KARNATAKA	37	1
431	KARNATAKA	38	1
432	KARNATAKA	41	1
433	KARNATAKA	47	1
434	KARNATAKA	52	1
435	KARNATAKA	53	2
436	KARNATAKA	56	1
437	KARNATAKA	57	1
438	KARNATAKA	59	2
439	KARNATAKA	60	1
440	KARNATAKA	61	1
441	KARNATAKA	62	2
442	KARNATAKA	65	1
443	KARNATAKA	67	2
444	KARNATAKA	72	1
445	KARNATAKA	73	1
446	KARNATAKA	81	1
447	KARNATAKA	83	1
448	KARNATAKA	85	1
449	KARNATAKA	87	1
450	KARNATAKA	88	1
451	KARNATAKA	89	2
452	KERALA	9	1
453	KERALA	23	1
454	KERALA	39	1
455	KERALA	41	1
456	KERALA	42	1
457	MADHYA PRADESH	1	1
458	MADHYA PRADESH	2	1
459	MADHYA PRADESH	3	2
460	MADHYA PRADESH	7	1
461	MADHYA PRADESH	9	2
462	MADHYA PRADESH	10	1
463	MADHYA PRADESH	11	3
464	MADHYA PRADESH	12	1
465	MADHYA PRADESH	15	2
466	MADHYA PRADESH	16	3
467	MADHYA PRADESH	19	2
468	MADHYA PRADESH	20	2
469	MADHYA PRADESH	21	1
470	MADHYA PRADESH	22	1
471	MADHYA PRADESH	24	2
472	MADHYA PRADESH	27	1
473	MADHYA PRADESH	28	2
474	MADHYA PRADESH	29	2
475	MADHYA PRADESH	30	1
476	MADHYA PRADESH	31	3
477	MADHYA PRADESH	33	2
478	MADHYA PRADESH	38	3
479	MADHYA PRADESH	39	2
480	MADHYA PRADESH	40	1
481	MADHYA PRADESH	41	1
482	MADHYA PRADESH	42	3
483	MADHYA PRADESH	43	2
484	MADHYA PRADESH	45	3
485	MADHYA PRADESH	46	1
486	MADHYA PRADESH	47	1
487	MADHYA PRADESH	48	1
488	MADHYA PRADESH	49	3
489	MADHYA PRADESH	51	1
490	MADHYA PRADESH	52	1
491	MADHYA PRADESH	54	1
492	MADHYA PRADESH	55	2
493	MADHYA PRADESH	56	1
494	MADHYA PRADESH	58	1
495	MADHYA PRADESH	61	2
496	MADHYA PRADESH	62	2
497	MADHYA PRADESH	63	2
498	MADHYA PRADESH	64	1
499	MADHYA PRADESH	66	1
500	MADHYA PRADESH	67	3
501	MADHYA PRADESH	68	1
502	MADHYA PRADESH	69	2
503	MADHYA PRADESH	71	1
504	MADHYA PRADESH	73	1
505	MADHYA PRADESH	74	2
506	MADHYA PRADESH	75	2
507	MADHYA PRADESH	76	1
508	MADHYA PRADESH	78	1
509	MADHYA PRADESH	80	1
510	MADHYA PRADESH	84	2
511	MADHYA PRADESH	85	1
512	MADHYA PRADESH	87	2
513	MADHYA PRADESH	88	2
514	MADHYA PRADESH	89	1
515	MAHARASHTRA	1	2
516	MAHARASHTRA	2	3
517	MAHARASHTRA	3	1
518	MAHARASHTRA	4	1
519	MAHARASHTRA	5	1
520	MAHARASHTRA	6	2
521	MAHARASHTRA	8	1
522	MAHARASHTRA	10	2
523	MAHARASHTRA	11	1
524	MAHARASHTRA	12	1
525	MAHARASHTRA	13	5
526	MAHARASHTRA	14	1
527	MAHARASHTRA	15	1
528	MAHARASHTRA	16	1
529	MAHARASHTRA	17	1
530	MAHARASHTRA	18	2
531	MAHARASHTRA	19	1
532	MAHARASHTRA	20	2
533	MAHARASHTRA	21	4
534	MAHARASHTRA	22	3
535	MAHARASHTRA	23	1
536	MAHARASHTRA	25	1
537	MAHARASHTRA	26	2
538	MAHARASHTRA	27	1
539	MAHARASHTRA	28	1
540	MAHARASHTRA	30	3
541	MAHARASHTRA	31	4
542	MAHARASHTRA	32	2
543	MAHARASHTRA	33	5
544	MAHARASHTRA	34	2
545	MAHARASHTRA	35	1
546	MAHARASHTRA	38	3
547	MAHARASHTRA	39	3
548	MAHARASHTRA	40	1
549	MAHARASHTRA	41	3
550	MAHARASHTRA	42	2
551	MAHARASHTRA	43	3
552	MAHARASHTRA	44	3
553	MAHARASHTRA	46	2
554	MAHARASHTRA	48	3
555	MAHARASHTRA	49	1
556	MAHARASHTRA	50	1
557	MAHARASHTRA	51	2
558	MAHARASHTRA	52	1
559	MAHARASHTRA	53	1
560	MAHARASHTRA	54	1
561	MAHARASHTRA	55	2
562	MAHARASHTRA	56	2
563	MAHARASHTRA	57	4
564	MAHARASHTRA	59	1
565	MAHARASHTRA	60	1
566	MAHARASHTRA	61	3
567	MAHARASHTRA	64	1
568	MAHARASHTRA	66	4
569	MAHARASHTRA	67	2
570	MAHARASHTRA	68	1
571	MAHARASHTRA	69	2
572	MAHARASHTRA	70	5
573	MAHARASHTRA	71	1
574	MAHARASHTRA	72	1
575	MAHARASHTRA	74	2
576	MAHARASHTRA	75	2
577	MAHARASHTRA	76	1
578	MAHARASHTRA	77	1
579	MAHARASHTRA	79	3
580	MAHARASHTRA	81	4
581	MAHARASHTRA	82	5
582	MAHARASHTRA	83	3
583	MAHARASHTRA	84	1
584	MAHARASHTRA	85	2
585	MAHARASHTRA	86	3
586	MAHARASHTRA	88	2
587	MAHARASHTRA	90	2
588	MEGHALAYA	82	1
589	MEGHALAYA	87	1
590	NAGALAND	9	1
591	NAGALAND	21	1
592	NAGALAND	31	1
593	NAGALAND	33	1
594	NAGALAND	51	1
595	NAGALAND	53	1
596	NAGALAND	72	1
597	ODISHA	1	1
598	ODISHA	2	1
599	ODISHA	3	4
600	ODISHA	4	5
601	ODISHA	5	4
602	ODISHA	6	3
603	ODISHA	7	3
604	ODISHA	8	3
605	ODISHA	9	6
606	ODISHA	10	5
607	ODISHA	11	7
608	ODISHA	12	4
609	ODISHA	13	3
610	ODISHA	14	1
611	ODISHA	15	5
612	ODISHA	16	1
613	ODISHA	17	1
614	ODISHA	18	2
615	ODISHA	19	1
616	ODISHA	20	8
617	ODISHA	21	3
618	ODISHA	22	5
619	ODISHA	24	5
620	ODISHA	25	4
621	ODISHA	26	4
622	ODISHA	27	1
623	ODISHA	28	3
624	ODISHA	29	1
625	ODISHA	30	6
626	ODISHA	31	3
627	ODISHA	32	3
628	ODISHA	33	4
629	ODISHA	34	3
630	ODISHA	35	1
631	ODISHA	36	3
632	ODISHA	37	6
633	ODISHA	38	7
634	ODISHA	39	1
635	ODISHA	40	1
636	ODISHA	41	3
637	ODISHA	42	8
638	ODISHA	43	3
639	ODISHA	44	4
640	ODISHA	45	2
641	ODISHA	46	4
642	ODISHA	47	2
643	ODISHA	48	3
644	ODISHA	49	3
645	ODISHA	50	4
646	ODISHA	51	3
647	ODISHA	52	1
648	ODISHA	53	3
649	ODISHA	54	2
650	ODISHA	55	3
651	ODISHA	56	3
652	ODISHA	57	3
653	ODISHA	59	6
654	ODISHA	60	6
655	ODISHA	61	5
656	ODISHA	62	7
657	ODISHA	63	4
658	ODISHA	64	2
659	ODISHA	65	3
660	ODISHA	66	3
661	ODISHA	67	3
662	ODISHA	68	3
663	ODISHA	69	3
664	ODISHA	70	4
665	ODISHA	71	5
666	ODISHA	72	3
667	ODISHA	73	3
668	ODISHA	74	5
669	ODISHA	75	4
670	ODISHA	76	5
671	ODISHA	77	2
672	ODISHA	78	2
673	ODISHA	79	7
674	ODISHA	80	3
675	ODISHA	81	5
676	ODISHA	82	3
677	ODISHA	83	4
678	ODISHA	85	3
679	ODISHA	86	1
680	ODISHA	87	4
681	ODISHA	88	6
682	ODISHA	89	1
683	ORISSA	75	1
684	PONDICHERRY	8	1
685	PONDICHERRY	18	1
686	PONDICHERRY	21	1
687	PONDICHERRY	38	1
688	PONDICHERRY	47	1
689	PONDICHERRY	77	1
690	PUNJAB	2	1
691	PUNJAB	5	1
692	PUNJAB	6	2
693	PUNJAB	7	1
694	PUNJAB	11	2
695	PUNJAB	12	1
696	PUNJAB	17	1
697	PUNJAB	21	1
698	PUNJAB	23	1
699	PUNJAB	25	1
700	PUNJAB	32	1
701	PUNJAB	34	1
702	PUNJAB	37	1
703	PUNJAB	38	1
704	PUNJAB	40	1
705	PUNJAB	46	1
706	PUNJAB	49	2
707	PUNJAB	51	1
708	PUNJAB	53	1
709	PUNJAB	54	2
710	PUNJAB	63	1
711	PUNJAB	64	1
712	PUNJAB	66	1
713	PUNJAB	67	1
714	PUNJAB	68	1
715	PUNJAB	72	1
716	PUNJAB	74	1
717	PUNJAB	84	1
718	PUNJAB	87	1
719	PUNJAB	89	1
720	RAJASTHAN	1	1
721	RAJASTHAN	2	1
722	RAJASTHAN	3	3
723	RAJASTHAN	4	1
724	RAJASTHAN	7	1
725	RAJASTHAN	8	1
726	RAJASTHAN	9	1
727	RAJASTHAN	11	2
728	RAJASTHAN	12	1
729	RAJASTHAN	13	1
730	RAJASTHAN	14	1
731	RAJASTHAN	17	3
732	RAJASTHAN	18	1
733	RAJASTHAN	19	2
734	RAJASTHAN	20	2
735	RAJASTHAN	21	2
736	RAJASTHAN	22	8
737	RAJASTHAN	24	1
738	RAJASTHAN	25	1
739	RAJASTHAN	26	2
740	RAJASTHAN	27	1
741	RAJASTHAN	28	2
742	RAJASTHAN	30	1
743	RAJASTHAN	32	1
744	RAJASTHAN	33	2
745	RAJASTHAN	35	2
746	RAJASTHAN	36	1
747	RAJASTHAN	37	1
748	RAJASTHAN	38	2
749	RAJASTHAN	40	2
750	RAJASTHAN	42	3
751	RAJASTHAN	43	1
752	RAJASTHAN	45	4
753	RAJASTHAN	47	4
754	RAJASTHAN	48	1
755	RAJASTHAN	49	1
756	RAJASTHAN	50	2
757	RAJASTHAN	51	2
758	RAJASTHAN	52	1
759	RAJASTHAN	53	3
760	RAJASTHAN	54	3
761	RAJASTHAN	55	1
762	RAJASTHAN	57	1
763	RAJASTHAN	58	5
764	RAJASTHAN	60	2
765	RAJASTHAN	61	2
766	RAJASTHAN	63	2
767	RAJASTHAN	64	1
768	RAJASTHAN	66	1
769	RAJASTHAN	69	1
770	RAJASTHAN	70	1
771	RAJASTHAN	72	1
772	RAJASTHAN	73	2
773	RAJASTHAN	74	4
774	RAJASTHAN	75	1
775	RAJASTHAN	76	1
776	RAJASTHAN	77	1
777	RAJASTHAN	79	1
778	RAJASTHAN	80	3
779	RAJASTHAN	81	1
780	RAJASTHAN	83	5
781	RAJASTHAN	84	2
782	RAJASTHAN	85	3
783	RAJASTHAN	86	2
784	RAJASTHAN	87	1
785	RAJASTHAN	88	1
786	RAJASTHAN	89	3
787	RAJASTHAN	90	1
788	TAMIL NADU	1	3
789	TAMIL NADU	3	1
790	TAMIL NADU	4	3
791	TAMIL NADU	6	4
792	TAMIL NADU	7	1
793	TAMIL NADU	8	1
794	TAMIL NADU	9	1
795	TAMIL NADU	11	1
796	TAMIL NADU	14	2
797	TAMIL NADU	16	5
798	TAMIL NADU	17	2
799	TAMIL NADU	18	1
800	TAMIL NADU	19	2
801	TAMIL NADU	20	3
802	TAMIL NADU	21	3
803	TAMIL NADU	22	1
804	TAMIL NADU	23	1
805	TAMIL NADU	24	3
806	TAMIL NADU	26	2
807	TAMIL NADU	27	1
808	TAMIL NADU	31	2
809	TAMIL NADU	32	1
810	TAMIL NADU	33	2
811	TAMIL NADU	34	1
812	TAMIL NADU	35	2
813	TAMIL NADU	37	1
814	TAMIL NADU	38	1
815	TAMIL NADU	39	1
816	TAMIL NADU	41	2
817	TAMIL NADU	42	1
818	TAMIL NADU	43	4
819	TAMIL NADU	44	1
820	TAMIL NADU	45	2
821	TAMIL NADU	46	3
822	TAMIL NADU	48	2
823	TAMIL NADU	49	2
824	TAMIL NADU	50	2
825	TAMIL NADU	52	3
826	TAMIL NADU	53	1
827	TAMIL NADU	54	1
828	TAMIL NADU	55	2
829	TAMIL NADU	56	1
830	TAMIL NADU	57	1
831	TAMIL NADU	58	2
832	TAMIL NADU	59	2
833	TAMIL NADU	61	1
834	TAMIL NADU	62	2
835	TAMIL NADU	63	3
836	TAMIL NADU	64	1
837	TAMIL NADU	66	1
838	TAMIL NADU	70	1
839	TAMIL NADU	72	3
840	TAMIL NADU	73	2
841	TAMIL NADU	75	1
842	TAMIL NADU	76	2
843	TAMIL NADU	77	1
844	TAMIL NADU	78	1
845	TAMIL NADU	79	1
846	TAMIL NADU	80	1
847	TAMIL NADU	83	4
848	TAMIL NADU	84	1
849	TAMIL NADU	85	2
850	TAMIL NADU	86	1
851	TAMIL NADU	87	2
852	TAMIL NADU	88	1
853	TAMIL NADU	90	1
854	TELANGANA	4	1
855	TELANGANA	6	2
856	TELANGANA	8	1
857	TELANGANA	10	1
858	TELANGANA	15	2
859	TELANGANA	26	1
860	TELANGANA	30	1
861	TELANGANA	56	1
862	TELANGANA	62	1
863	TELANGANA	65	1
864	TELANGANA	69	1
865	TELANGANA	75	1
866	TELANGANA	76	1
867	TELANGANA	77	2
868	TELANGANA	79	1
869	TELANGANA	83	1
870	TELANGANA	84	1
871	TELANGANA	88	1
872	TELANGANA	90	2
873	TRIPURA	1	1
874	TRIPURA	8	1
875	TRIPURA	9	2
876	TRIPURA	10	1
877	TRIPURA	12	1
878	TRIPURA	18	1
879	TRIPURA	19	2
880	TRIPURA	21	1
881	TRIPURA	23	1
882	TRIPURA	24	1
883	TRIPURA	25	1
884	TRIPURA	27	1
885	TRIPURA	31	3
886	TRIPURA	32	1
887	TRIPURA	36	1
888	TRIPURA	57	1
889	TRIPURA	59	1
890	TRIPURA	60	1
891	TRIPURA	62	1
892	TRIPURA	63	1
893	TRIPURA	66	1
894	TRIPURA	71	1
895	TRIPURA	72	1
896	TRIPURA	73	2
897	TRIPURA	74	2
898	TRIPURA	78	1
899	TRIPURA	87	1
900	TRIPURA	90	1
901	UTTAR PRADESH	1	2
902	UTTAR PRADESH	2	1
903	UTTAR PRADESH	3	2
904	UTTAR PRADESH	4	2
905	UTTAR PRADESH	5	1
906	UTTAR PRADESH	6	1
907	UTTAR PRADESH	7	4
908	UTTAR PRADESH	8	1
909	UTTAR PRADESH	9	1
910	UTTAR PRADESH	10	2
911	UTTAR PRADESH	11	1
912	UTTAR PRADESH	12	4
913	UTTAR PRADESH	13	2
914	UTTAR PRADESH	14	1
915	UTTAR PRADESH	15	1
916	UTTAR PRADESH	17	2
917	UTTAR PRADESH	19	1
918	UTTAR PRADESH	21	2
919	UTTAR PRADESH	22	1
920	UTTAR PRADESH	24	1
921	UTTAR PRADESH	25	2
922	UTTAR PRADESH	26	2
923	UTTAR PRADESH	27	1
924	UTTAR PRADESH	28	2
925	UTTAR PRADESH	29	2
926	UTTAR PRADESH	30	1
927	UTTAR PRADESH	31	2
928	UTTAR PRADESH	32	1
929	UTTAR PRADESH	34	1
930	UTTAR PRADESH	35	1
931	UTTAR PRADESH	36	2
932	UTTAR PRADESH	37	2
933	UTTAR PRADESH	38	1
934	UTTAR PRADESH	39	1
935	UTTAR PRADESH	40	2
936	UTTAR PRADESH	42	1
937	UTTAR PRADESH	44	1
938	UTTAR PRADESH	45	2
939	UTTAR PRADESH	46	1
940	UTTAR PRADESH	47	3
941	UTTAR PRADESH	48	2
942	UTTAR PRADESH	49	1
943	UTTAR PRADESH	51	2
944	UTTAR PRADESH	52	2
945	UTTAR PRADESH	54	2
946	UTTAR PRADESH	55	3
947	UTTAR PRADESH	56	1
948	UTTAR PRADESH	57	1
949	UTTAR PRADESH	58	2
950	UTTAR PRADESH	59	2
951	UTTAR PRADESH	60	3
952	UTTAR PRADESH	61	1
953	UTTAR PRADESH	63	4
954	UTTAR PRADESH	65	2
955	UTTAR PRADESH	66	1
956	UTTAR PRADESH	67	4
957	UTTAR PRADESH	68	3
958	UTTAR PRADESH	69	4
959	UTTAR PRADESH	70	1
960	UTTAR PRADESH	71	1
961	UTTAR PRADESH	72	4
962	UTTAR PRADESH	74	1
963	UTTAR PRADESH	77	1
964	UTTAR PRADESH	78	2
965	UTTAR PRADESH	79	1
966	UTTAR PRADESH	80	1
967	UTTAR PRADESH	81	1
968	UTTAR PRADESH	83	3
969	UTTAR PRADESH	85	1
970	UTTAR PRADESH	86	3
971	UTTAR PRADESH	87	1
972	UTTAR PRADESH	88	3
973	UTTAR PRADESH	89	2
974	UTTAR PRADESH	90	1
